-183.591, 77.805, 1.886,  1.765
-183.585, 77.742, 1.884,  1.798
-183.579, 77.680, 1.883,  1.831
-183.573, 77.618, 1.883,  1.864
-183.567, 77.555, 1.884,  1.897
-183.561, 77.493, 1.886,  1.930
-183.554, 77.430, 1.888,  1.963
-183.548, 77.367, 1.892,  1.996
-183.542, 77.304, 1.896,  2.029
-183.535, 77.241, 1.901,  2.062
-183.529, 77.178, 1.907,  2.095
-183.523, 77.115, 1.913,  2.128
-183.516, 77.051, 1.919,  2.161
-183.510, 76.987, 1.924,  2.194
-183.504, 76.923, 1.930,  2.227
-183.497, 76.859, 1.936,  2.260
-183.491, 76.795, 1.941,  2.293
-183.484, 76.730, 1.946,  2.326
-183.478, 76.666, 1.950,  2.359
-183.471, 76.601, 1.955,  2.392
-183.465, 76.536, 1.959,  2.425
-183.458, 76.471, 1.963,  2.458
-183.452, 76.405, 1.968,  2.491
-183.445, 76.340, 1.972,  2.524
-183.439, 76.275, 1.976,  2.557
-183.432, 76.209, 1.981,  2.590
-183.426, 76.143, 1.985,  2.623
-183.419, 76.077, 1.990,  2.656
-183.413, 76.011, 1.995,  2.689
-183.406, 75.945, 1.999,  2.722
-183.400, 75.878, 2.005,  2.755
-183.393, 75.812, 2.010,  2.788
-183.386, 75.745, 2.015,  2.821
-183.380, 75.678, 2.020,  2.854
-183.373, 75.611, 2.026,  2.887
-183.367, 75.543, 2.032,  2.920
-183.360, 75.476, 2.037,  2.953
-183.354, 75.408, 2.043,  2.986
-183.347, 75.340, 2.049,  3.019
-183.340, 75.272, 2.054,  3.052
-183.334, 75.204, 2.060,  3.085
-183.327, 75.135, 2.066,  3.118
-183.321, 75.066, 2.072,  3.151
-183.314, 74.998, 2.077,  3.184
-183.308, 74.928, 2.083,  3.217
-183.301, 74.859, 2.089,  3.250
-183.295, 74.790, 2.095,  3.283
-183.288, 74.720, 2.101,  3.316
-183.282, 74.650, 2.107,  3.349
-183.275, 74.580, 2.113,  3.382
-183.269, 74.510, 2.119,  3.415
-183.262, 74.439, 2.125,  3.448
-183.256, 74.369, 2.131,  3.481
-183.249, 74.298, 2.137,  3.514
-183.243, 74.227, 2.144,  3.547
-183.236, 74.155, 2.150,  3.580
-183.230, 74.084, 2.156,  3.613
-183.223, 74.012, 2.163,  3.646
-183.217, 73.940, 2.169,  3.679
-183.210, 73.868, 2.175,  3.712
-183.204, 73.795, 2.182,  3.745
-183.197, 73.723, 2.189,  3.778
-183.191, 73.650, 2.195,  3.811
-183.185, 73.577, 2.202,  3.844
-183.178, 73.504, 2.208,  3.877
-183.172, 73.430, 2.215,  3.910
-183.165, 73.356, 2.222,  3.943
-183.159, 73.282, 2.229,  3.976
-183.153, 73.208, 2.235,  4.009
-183.147, 73.134, 2.242,  4.042
-183.140, 73.059, 2.249,  4.075
-183.134, 72.984, 2.256,  4.108
-183.128, 72.909, 2.263,  4.141
-183.121, 72.834, 2.270,  4.174
-183.115, 72.758, 2.277,  4.207
-183.109, 72.682, 2.284,  4.240
-183.103, 72.606, 2.291,  4.273
-183.097, 72.530, 2.298,  4.306
-183.090, 72.453, 2.305,  4.339
-183.084, 72.377, 2.312,  4.372
-183.078, 72.300, 2.320,  4.405
-183.072, 72.222, 2.327,  4.438
-183.066, 72.145, 2.334,  4.471
-183.060, 72.067, 2.341,  4.504
-183.054, 71.989, 2.349,  4.537
-183.048, 71.911, 2.356,  4.570
-183.042, 71.832, 2.363,  4.603
